ID,Discovered Item,Framework Theme,Reference,Grey lit,Topic: Site remediation,Topic: Water mgt,Topic: Waste / sanitation,Topic: Workplace,Topic: Emissions,Topic: Chem Alt,Topic: Pub Health,Topic: Emerg / Disaster,Topic: Unspecified,Dev org: Gov't,Dev org: NGO,Dev org: Industry,Dev org: Academic,Disagree,Difficult,Guidance1,Guidance2,Context,Judgement,Unique,No code,Problem,Desirable effects,Undesirable effects,Certainty of evidence,Values,Balance of effects,Resources required,Cost effectiveness,Equity,Acceptability,Feasibility
1,Ease of automation use: Whether the operation is difficult,Technology,Adar 2020,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Development: Technology is full-scale or lab-scale,Technology,Adar 2020,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,Removal efficiency/providing discharge standards: Whether the products at the system output meet the discharge standards,Technology,Adar 2020,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
4,Investment: Cost of establishing the system,Cost,Adar 2020,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5,"Operation: Electricity and water consumption, chemical using, maintenance-repair, staff, etc. cost to operate the system",Cost,Adar 2020,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6,Land: Cost of land required to install the system,Cost,Adar 2020,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
7,Odor: Are there any uncomfortable/unpleasant odor emissions when operating the system?,Environmental,Adar 2020,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8,Noise: Does noise occur?,Environmental,Adar 2020,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9,Emission: What kind of emissions occurs? ,Environmental,Adar 2020,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Emission: Is there any need for additional treatment?,Environmental,Adar 2020,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,Risk: Does it have risks that may cause an accident or a health risk?,Social/ergonomics,Adar 2020,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12,Need for qualified staff/workload: Does operating the system require excessive workload and qualified staff?,Social/ergonomics,Adar 2020,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
13,"People's reaction: Is there public reaction due to risk, odor, noise, etc.?",Social/ergonomics,Adar 2020,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,"legal mandates, flexibility and constraints",Laws and Regulatory Requirements,Anonymous 2014,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,"costs, benefits and impacts of potential actions",Economic Analyses,Anonymous 2014,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0
16,"life cycle, multimedia and long-term impacts",Sustainability,Anonymous 2014,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
17,"feasibility, impact and range of risk management options",Technological Considerations,Anonymous 2014,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
18,"interactions with different branches and levels of government, as well as the citizens that they represent",Political Considerations,Anonymous 2014,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
19,"susceptible population groups and life stages, nonchemical stressors and cumulative risk assessment considerations",Public and Social Considerations,Anonymous 2014,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
20,"Effectiveness (The potential health impact of the technology compared with the available alternatives, measured in terms of relevant patient outcomes such as mortality, morbidity, and quality of life. Magnitude and direction of effect should be considered.)",Overall clinical benefit,Anonymous 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
21,Safety (The frequency and severity of adverse effects associated with the technology compared with the available alternatives.),Overall clinical benefit,Anonymous 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,"Burden of illness (Incidence, prevalence, or other measure of disease burden.)",Overall clinical benefit,Anonymous 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,Need (The availability of an effective alternative to the technology.),Overall clinical benefit,Anonymous 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
24,Expected societal values (Broadly shared values in society that bear on the appropriate use of the technology.),Consistency with expected societal and ethical values,Anonymous 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
25,Expected ethical values (The potential ethical issues inherent in using or not using the technology. Relevant ethical issues should be listed.),Consistency with expected societal and ethical values,Anonymous 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
26,Economic evaluation (A measure of the net cost or efficiency of the technology compared with available alternatives expressed as an incremental cost effectiveness ratio (ICER)),Value for money,Anonymous 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
27,Economic feasibility (The net budget impact of the technology derived by determining all relevant costs and savings to the health system.),Feasibility of adoption into the health system,Anonymous 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
28,"Organizational feasibility (The ease with which the health technology can be adopted is evaluated by assessing the health system enablers and barriers to diffusion within the health system infrastructure (operational, capital, human resources, legislative, and regulatory).)",Feasibility of adoption into the health system,Anonymous 2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
29,What risks will be reduced?,Is this question a priority?,Anonymous 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,To what extent is there a need to improve on current treatments?,Is this question a priority?,Anonymous 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,How many patients are likely to be affected?,Is this question a priority?,Anonymous 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,Could improvement in this condition reduce the risk/impact of common comorbid conditions?,Is this question a priority?,Anonymous 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,outcome,How sure are we that any given option will work?,Anonymous 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,impact,How sure are we that any given option will work?,Anonymous 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,number of studies,How sure are we that any given option will work?,Anonymous 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
36,quality/certainty of the body of evidence,How sure are we that any given option will work?,Anonymous 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,"Fundamental to making any recommendation is the need to ensure that any benefit to the patient outweighs, preferably by a substantial margin, any risks or harms associated with the treatment.",Balancing benefits and harms,Anonymous 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,,How do patients value the different outcomes?,Anonymous 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
39,"Consider equity groups based on: age, disability, gender reassignment, marriage and civil partnership, race, religion or belief, sex, sexual orientation.",Equity,Anonymous 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,cost effectiveness of a single proposed intervention,Costs and benefits,Anonymous 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,resources required to implement a recommendation,Costs and benefits,Anonymous 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,"Effectiveness (The potential health impact of the drug compared to the other drug and non-drug alternatives, measured in terms of relevant patient outcomes such as mortality, morbidity, quality of life. Magnitude, direction and uncertainty of effect should be considered.)",Overall Clinical Benefit,Anonymous1 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
43,Safety (Frequency and severity of adverse effects associate with the new drug compared to other drug and non- drug alternatives.),Overall Clinical Benefit,Anonymous1 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
44,"Burden of Illness (Incidence, prevalence or other measure of disease burden on the population.)",Overall Clinical Benefit,Anonymous1 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,Need (Availability of an effective alternative to the drug technology.),Overall Clinical Benefit,Anonymous1 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,Patient Values (Patient based values which bear on the appropriate use and impact of the drug.),Alignment with Patient Values,Anonymous1 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
47,Economic Evaluations (A measure of the net cost or efficiency of the drug and companion technology compared to other drug and non-drug alternatives. The uncertainty of results should be considered.),Cost effectiveness,Anonymous1 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
48,"Economic Feasibility (The net budget impact of the new drug on other drug and health system spending, including companion testing technology.)",Feasibility of Adoption into Health Systems,Anonymous1 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
49,"Organizational Feasibility (The ease with which the new drug can be adopted, with an assessment of health system enablers and barriers to implementation, inclusive of all elements: operational, capital, human resources, legislative and regulatory requirements)",Feasibility of Adoption into Health Systems,Anonymous1 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
50,Is the policy a priority?,Policy importance,Anonymous2 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,How substantial are the desirable anticipated effects?,Desirable effects,Anonymous2 2020,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
